birdlifeId,birdLabel,conservationStatusLabel,taxonWingspan,birdMass
22695541,Accipiter haplochrous,Near Threatened,0.58,0.255
22695619,Accipiter ovampensis,Least Concern,0.6,0.24
22695558,Accipiter poliocephalus,Least Concern,0.56,0.3
22695565,Accipiter superciliosus,Least Concern,0.38,0.125
22696466,African Hobby,Least Concern,0.6,0.2
22680174,American Black Duck,Least Concern,0.85,1.111
22697611,American White Pelican,Least Concern,2.4,4.97
22696437,Amur Falcon,Least Concern,0.63,0.15
22732019,Augur Buzzard,Least Concern,1.2,1.2
22692680,Australian Crake,Least Concern,0.27,0.057
22696473,Australian Hobby,Least Concern,0.7,0.282
22696782,Australian Pied Cormorant,Least Concern,1.1,1.715
22680011,Australian Shelduck,Least Concern,0.9,1.291
22696103,Ayres's Hawk-Eagle,Least Concern,1.1,1.014
22680384,Baer's Pochard,Critically Endangered,0.7,0.68
22679893,Bar-headed Goose,Least Concern,1.4,2.23
22680459,Barrow's Goldeneye,Least Concern,0.67,0.73
22696457,Bat Falcon,Least Concern,0.51,0.202
22696457,Bat Falcon,Least Concern,0.65,0.202
22696484,Black Falcon,Least Concern,0.96,0.7976
22679843,Black Swan,Least Concern,1.6,5.1
22693002,Black-bellied Sandgrouse,Least Concern,0.7,0.383
22695757,Black-faced Hawk,Least Concern,0.65,0.355
22693567,Black-faced Sheathbill,Least Concern,0.74,0.551
22693943,Black-fronted Dotterel,Least Concern,0.33,0.0315
22694289,Black-tailed Gull,Least Concern,1.2,0.522
22696354,Brown Falcon,Least Concern,0.9,0.6814
22695527,Brown Goshawk,Least Concern,0.7,0.59
22733989,Brown Pelican,Least Concern,2,3.174
22680462,Bufflehead,Least Concern,0.53,0.367
22698182,Buller's Shearwater,Vulnerable,0.96,0.3065
22694321,California Gull,Least Concern,1.22,0.71
22728349,Campbell Albatross,Vulnerable,2.1,2.675
22735929,Caspian Gull,Least Concern,1.37,1.033
22678664,Caspian Snowcock,Least Concern,0.95,2.07
22694524,Caspian Tern,Least Concern,1.27,0.588
22693137,Chatham Snipe,Vulnerable,0.28,0.0854
